word,han,ham,hun,hende
blændet,0.0,3.2045630116437587,0.0,0.0
blæse,1.0043993926787826,1.3986189074237472,0.0,0.0
blæser,1.7514715368801983,0.0,0.0,0.0
blæst,0.0,2.260101402802907,0.0,0.0
blæste,2.597868901934152,0.0,0.0,0.0
bløder,3.033487048213004,3.715388635409749,0.0,0.0
blødte,3.0698546923838785,0.0,0.0,0.0
bo,-0.2649918272541638,0.8223748680507459,0.0,1.8053071712592506
boble,0.0,1.8771091505468014,0.0,0.0
boede,2.008982731698616,1.9176944306618795,2.7424027286554904,3.018409769526768
boet,0.6036401756080308,0.0,0.0,0.0
boksede,4.573932089160153,0.0,0.0,0.0
bor,1.1986224784501252,1.7751635499890441,1.4524693951451133,0.966336383969494
bortført,0.0,0.0,0.0,5.103786046726419
bosatte,3.475319800492043,0.0,0.0,0.0
bragt,-0.42665286908260164,2.675616846764573,0.9258063362804962,3.435405598658868
bragte,2.312168990686362,2.7063885054313266,2.0551902836153597,3.4661772573256218
brast,1.438437873231003,3.442095300410068,2.7908970785941007,0.0
brat,0.767269599389833,0.0,0.0,0.0
breder,0.8362624708767847,1.5181640580735298,0.0,2.906561469390199
bredte,0.0,2.525804568535913,0.0,0.0
bremse,0.0,2.716859805298622,0.0,0.0
bremsede,0.0,4.562686495796953,0.0,0.0
bremses,2.7821726199320977,0.0,0.0,0.0
bringe,-1.2037202340625037,1.7294731517407367,0.0,2.4760166768850116
bringer,1.6340802740006184,2.0282997887455827,0.9496575521026763,2.3606445258129383
bringes,-0.2858803152015194,1.4946335606633356,0.0,0.0
brok,0.0,2.7709270265688977,0.0,0.0
brokkede,2.008982731698616,0.0,0.0,0.0
brokker,1.6652111925957915,0.0,0.0,0.0
broren,0.0,0.0,5.115461078306922,0.0
brudgommen,-0.9435208073045548,0.0,0.0,0.0
brudt,-0.6651659177279129,-0.27094640298294853,0.687293287635185,0.0
bruge,-0.64565123684538,1.6312995253333662,-0.14048989186948554,2.5232600503361446
